customer,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
RB50392,Washington,,Master,,0.0,1000.0,1/0/00,Personal Auto,Four-Door Car,2.704934
QZ44356,Arizona,F,Bachelor,6979.5359,0.0,94.0,1/0/00,Personal Auto,Four-Door Car,1131.464935
AI49188,Nevada,F,Bachelor,12887.4317,48767.0,108.0,1/0/00,Personal Auto,Two-Door Car,566.4722469999999
WW63253,California,M,Bachelor,7645.861800000001,0.0,106.0,1/0/00,Corporate Auto,SUV,529.881344
GA49547,Washington,M,High School or Below,5363.0765,36357.0,68.0,1/0/00,Personal Auto,Four-Door Car,17.269323
OC83172,Oregon,F,Bachelor,8256.2978,62902.0,69.0,1/0/00,Personal Auto,Two-Door Car,159.383042
XZ87318,Oregon,F,College,5380.8985999999995,55350.0,67.0,1/0/00,Corporate Auto,Four-Door Car,321.6
CF85061,Arizona,M,Master,7216.1003,0.0,101.0,1/0/00,Corporate Auto,Four-Door Car,363.02968
DY87989,Oregon,M,Bachelor,24127.504,14072.0,71.0,1/0/00,Corporate Auto,Four-Door Car,511.2
BQ94931,Oregon,F,College,7388.178100000001,28812.0,93.0,1/0/00,Special Auto,Four-Door Car,425.527834
SX51350,California,M,College,4738.992,0.0,67.0,1/0/00,Personal Auto,Four-Door Car,482.4
VQ65197,California,,College,8197.1971,0.0,110.0,1/0/00,Personal Auto,SUV,528.0
DP39365,California,,Master,8798.796999999999,77026.0,110.0,1/2/00,Corporate Auto,Four-Door Car,472.029737
SJ95423,Arizona,,High School or Below,8819.018900000001,99845.0,110.0,1/1/00,Corporate Auto,SUV,528.0
IL66569,California,,College,5384.4317,83689.0,70.0,1/2/00,Corporate Auto,Four-Door Car,307.13913199999996
BW63560,Oregon,,Bachelor,7463.139399999999,24599.0,64.0,1/1/00,Corporate Auto,Four-Door Car,42.920271
FV94802,Nevada,,High School or Below,2566.8678,25049.0,67.0,1/0/00,Personal Auto,Two-Door Car,454.24509800000004
OE15005,Cali,,College,3945.2416,28855.0,101.0,1/0/00,Personal Auto,SUV,647.4420309999999
WC83389,Oregon,,College,5710.333100000001,51148.0,72.0,1/0/00,Personal Auto,Four-Door Car,308.981664
FL50705,California,,High School or Below,8162.6170999999995,66140.0,101.0,1/0/00,Corporate Auto,Four-Door Car,484.8
ZK25313,Oregon,,High School or Below,2872.0513,57749.0,74.0,1/0/00,Personal Auto,Two-Door Car,355.2
QK46697,Washington,M,Bachelors,6177.1093,61040.0,79.0,1/1/00,Personal Auto,Two-Door Car,20.382876
YH23384,Arizona,,Bachelor,24127.504,14072.0,71.0,1/0/00,Personal Auto,Four-Door Car,511.2
TZ98966,Nevada,,Bachelor,2450.1910000000003,0.0,73.0,1/3/00,Corporate Auto,Four-Door Car,554.376763
HM55802,California,,Bachelor,2392.1079,17870.0,61.0,1/0/00,Corporate Auto,Four-Door Car,439.2
FS42516,Oregon,,College,5802.066,97541.0,72.0,1/0/00,Personal Auto,Four-Door Car,389.185006
US89481,California,,Bachelor,3946.3721,0.0,111.0,1/0/00,Personal Auto,Four-Door Car,799.2
HS14476,Washington,M,College,9162.063199999999,29723.0,80.0,1/0/00,Personal Auto,Four-Door Car,20.985104999999997
GE62437,AZ,,College,12902.5601,86584.0,111.0,1/2/00,Personal Auto,Four-Door Car,532.8
EJ77678,Oregon,,Master,3235.3605,75690.0,80.0,1/1/00,Personal Auto,Four-Door Car,384.0
SV85652,Arizona,,College,2454.5835,23158.0,63.0,1/1/00,Personal Auto,Four-Door Car,322.29404300000004
UL64533,Nevada,,High School or Below,18975.4561,65999.0,237.0,1/0/00,Corporate Auto,Luxury SUV,615.927769
PF41800,California,,Bachelor,4715.3213,0.0,65.0,1/0/00,Personal Auto,Four-Door Car,308.15089
HD95276,Washington,F,College,4737.8717,0.0,130.0,1/0/00,Personal Auto,SUV,23.820158
